Response Time,Availability,Throughput,Reliability,Latency,Rank
324,86,23.1,73,21,1465
329,92,25.6,73,154,1887
275,72,11.8,83,9,1126
407,9,5,60,7.63,1803
183.28,57,7.3,67,35.5,1542
348.33,66,4.4,80,72.33,2112
181.33,89,8.9,73,12.33,887
253,86,7.2,73,108.5,1884
116.33,46,9.2,83,4.83,380
540.67,75,7.3,83,123,2253
130.25,79,2.4,73,93.75,1563
257.5,100,3.4,73,1,598
396.6,87,1.3,73,3.4,1402
581,83,15.6,50,116,2339
281.8,93,1.3,73,7.2,1335
210,89,15.7,73,5.8,608
137.75,79,2.4,67,100,1776
240.17,91,2.5,67,46.67,1890
132.17,93,4.8,67,3.17,511
411.83,66,2.7,80,78.5,2239
219,97,21.9,80,23,946
165.2,91,1.4,73,11.6,1089
243,98,25.6,73,1,312
321.71,86,4.5,73,76.42,2040
300.6,100,1.4,67,42.6,2015
247.8,99,6.5,73,1.2,551
302.3,85,3.4,53,115.43,2313
146.5,72,14.2,83,3.5,353
1734.34,97,2.5,67,14.65,2073
65.4,92,6.8,67,8.25,515
295.6,100,1.1,67,45.2,2042
239.22,85,7.7,53,53.22,1919
225.75,78,6.5,67,67.5,1892
217.4,87,15.1,73,7.2,730
219,87,2.8,73,17,1399
130.08,95,13.1,67,21.16,834
191,92,9.4,73,42.6,1277
180.59,95,11.8,67,35.71,1266
350.71,63,6.1,73,16.21,1747
165,83,9.7,73,23,1031
281.6,95,13.9,73,7,889
140,96,2,60,42.67,1522
789,84,2.5,67,608,2474
249,97,8.5,67,43.85,1706
71.62,17,5.3,60,5.5,580
128.6,89,1.8,60,34.4,1450
195,83,34.7,80,107,1445
162.5,92,12.3,73,5,454
628,90,20.2,73,17,1634
401.14,43,4.1,83,9.57,1674
629,92,2.1,50,15,2141
276,88,1.6,67,32.8,1952
101.33,63,4,73,2.66,348
317.25,78,2.8,73,36.75,1935
382.71,27,5.7,73,62.92,2145
306.8,90,12.7,73,9,1179
225.8,97,3.4,73,45.4,1624
163,91,33.2,73,1,130
183.42,92,11,60,32.58,1361
111,56,13.8,83,6,330
175.5,86,12.4,73,3.5,468
178,56,5.2,78,16.75,1176
190,98,3.7,89,17.75,1050
316.5,72,15.9,80,5.5,958
284.95,61,5.2,60,101.19,2244
287.04,84,1.6,53,99.04,2324
148.33,89,1.2,73,69,1591
207,25,8.8,67,91.93,1875
136.71,76,2.8,60,11.57,1192
248.32,89,7.3,67,50.11,1812
110,83,21.6,67,5,352
194.8,92,1.8,73,5.2,795
206.8,89,2.5,73,6.2,893
201.5,99,1,73,46,1639
82.67,93,1.8,67,1.67,340
121,91,7.9,73,10,583
793.17,48,1.7,67,2.34,1720
459,98,9.5,73,3,980
179.29,44,1.9,67,5.58,1077
152.45,96,13.2,67,6.09,572
427.2,96,4.2,73,116.8,2203
60.05,77,9.1,67,4.1,355
113.25,88,1.7,53,43.25,1502
194.17,73,6.5,73,13.5,1130
85.25,97,19.3,73,28.25,536
105.5,86,17.9,73,3.5,170
1521.57,84,2.3,73,57.14,2331
404.5,99,3.4,73,37,1899
212.67,88,11.8,67,9.34,1049
130.14,88,20.5,80,19.28,633
254.4,98,1.3,67,35.6,1847
4232,98,4.7,73,14,1891
120,97,4.9,80,1.67,197
70.62,18,4.3,60,3.97,531
539.72,23,4,60,146.94,2461
202.04,97,9.9,60,6.92,856
324.8,86,12.4,73,9.6,1311
214,88,3.7,73,23,1410
174.5,72,13.3,83,3.5,451
251.4,87,1.5,58,7.4,1545
257.8,92,1.1,73,8.2,1348
195.54,28,5.8,60,48.62,1810
177.5,94,14.6,67,25.8,1111
126,97,31.5,58,14,665
142.5,94,6.8,73,12.5,752
396,72,6.7,67,10,1773
372.25,66,4.7,80,77.83,2143
264,94,0.4,73,13,1564
325.25,56,8.1,67,56.5,2108
376.64,100,7.3,67,3.28,1162
182.25,67,9.7,67,46.5,1581
150.17,91,18.1,73,4.84,360
211,43,3.1,53,7.71,1435
202.17,46,4.9,73,3,700
127.2,94,20.3,73,15.8,564
195,94,9.5,73,60.64,1434
136.67,63,6.1,78,3,443
142,89,6.8,73,11,751
243,63,8.3,73,13.33,1321
219,94,1.2,73,6.8,1038
236.67,63,6.4,53,8.67,1483
234,87,1.1,67,14,1670
517.67,63,6.3,67,9.34,1848
223.83,92,10.8,53,39.74,1648
313.6,92,11.7,58,9,1482
221.8,99,15.6,58,5.4,769
163.25,87,1.7,73,0.25,422
677,83,12.1,73,503,2286
151,93,3.7,73,31.5,1156
642.5,72,5.4,67,25,2136
295.67,73,4,73,152.17,2167
147,83,13.2,80,2,250
179.5,94,10.5,73,1.25,309
409.67,99,10.9,73,126.34,2043
363,83,19.2,73,163,2037
235.4,87,1.4,73,10,1387
2150,83,7.4,73,7,1673
61.42,79,8.9,67,5.37,397
280.6,91,0.9,67,39.4,2023
206,89,1.4,58,10,1487
97.4,51,3.3,42,2,517
2836.25,79,2.4,73,78.75,2400
379.78,85,2.3,53,106.04,2406
134.75,96,7.5,80,2.5,264
349.58,66,2.3,80,36.58,2004
213,100,1.3,58,8.6,1360
300.76,91,8.2,67,46.47,1908
258.5,72,9.2,73,14.5,1386
1328.5,56,3.8,83,3.75,1548
302.4,91,12.5,73,8.4,1124
285.04,86,3.2,53,91.87,2249
42.5,72,14.1,73,3.5,150
81,100,2,80,2,168
275,88,4,50,20,1828
38,95,2.1,73,1.5,149
183,94,27.6,80,15,697
267,94,1.8,58,7.4,1528
872.12,89,5.6,73,5.74,1513
374.25,56,5.4,60,45.75,2225
107.83,73,8.5,83,2.5,225
304.8,89,13.5,73,6.6,1004
579.58,98,1.2,60,106.15,2431
214,67,8.5,73,116.6,1790
234.6,50,10,83,3.4,714
64.75,86,7.8,67,7.95,509
132.86,28,3.8,78,4.36,579
485,63,7.8,67,4.67,1543
227,88,21.2,73,23,1118
431.33,85,9.4,67,6.66,1536
664,83,13.6,83,53,2006
240.4,88,1.9,73,5.2,1033
3288,18,1.3,67,2.96,1857
170,87,7.2,73,29.6,1158
114,86,16.1,73,67,960
150,94,7.8,73,8.33,629
645,86,8,73,86.5,2206
59.58,77,8.8,67,3.95,341
43,72,15.2,73,4.5,171
227.8,100,14.6,73,11.6,888
143.33,88,15.7,73,8.66,544
68.83,100,21.4,73,7.33,174
789.8,98,2.2,73,593.2,2382
2697.14,89,1.4,67,26.28,2303
200.2,100,1.1,73,10.4,1134
75.13,20,4.4,60,5.17,596
603.54,31,1.7,78,130.85,2420
260,83,15.5,73,10,1091
231.4,99,1.5,73,6.8,1041
134,83,26.8,78,4,258
215,98,1.6,73,3,718
324.67,97,4.1,80,77.67,1979
235,83,23.5,67,1,508
144.31,56,7.4,60,105.5,1758
536.25,56,7.1,83,3,1229
831.36,64,2,80,95.36,2380
632,72,13.1,78,122.5,2229
251.5,78,8.5,73,161.75,1953
110,83,24,73,3,152
246.6,92,3,73,43.4,1725
213,85,1.8,73,8.2,1154
144.88,57,7.7,67,13.19,1075
201.12,44,0.9,67,112.87,2140
124,92,7.6,73,9.33,581
359.13,85,1.1,53,116.56,2435
251.4,93,2.1,67,40.6,1865
133.17,94,13.9,73,6.59,392
411.4,93,10.8,58,9.4,1666
271.6,97,11.8,67,23.2,1530
361,50,6.5,67,181.6,2344
225.5,86,10.1,73,2,539
214.75,57,1.3,67,147.25,2192
142,39,6.3,73,6.12,645
173,46,3.8,78,4.83,737
111.33,95,11,67,31.8,866
220.96,87,11.1,53,40.44,1677
1918.4,51,3,83,31.8,2199
413,83,17.8,78,10,1422
118.33,91,11.1,73,7,400
301.17,85,3.4,53,79.6,2258
446.23,90,6.2,60,1.08,1207
104,92,17.1,73,30.67,631
249.2,92,1.6,67,40,1893
1345.5,78,4,73,23.25,2079
753,72,7.7,73,1.5,1169
184,93,6.3,73,0.5,321
126.22,92,14.1,73,19.44,656
407,78,4.2,73,48.25,2094
137,83,17.9,73,8,503
459.14,99,7.2,67,10.85,1708
158.67,93,11.7,73,0.67,185
80.4,91,2.9,73,43.3,974
641.5,96,4.4,73,33.5,1989
250.74,86,7,53,60.04,1984
190,83,33.2,80,1,210
329.43,86,1.2,53,101.17,2395
994,99,4.6,73,634.5,2335
155,83,21.3,80,5,391
128.31,91,12.4,67,20.8,860
135,97,7.5,73,9,586
109.5,94,8.2,73,14.75,610
233.5,68,3.2,73,4,939
288.87,84,2.1,53,94.7,2309
635.42,32,0.3,33,370.75,2503
231.8,87,1.1,73,9.2,1350
359.61,85,1.1,53,110.48,2430
289,85,10.4,73,2,719
98,85,1.3,73,1.5,313
127.33,100,6.9,73,8.66,534
222,90,10.2,73,23.67,1233
262.8,85,2.7,67,41,1951
300.12,90,7.9,67,14.88,1618
2440.33,71,1.1,67,1883.33,2499
289,86,0.4,80,1,868
151.1,60,5.5,67,33.1,1461
2511,98,6,73,29,2008
118.64,80,1.7,53,6.43,886
82,83,41.2,67,2,119
146,63,10.5,73,5.67,541
1134.14,62,1.9,73,1.32,1471
470,94,12.4,73,1,743
268,88,10.9,67,11,1404
314,63,5.4,73,11.67,1602
276.5,94,9.3,83,3,666
41,83,24,60,3,177
120,99,7.4,73,10.33,562
106,95,5.5,73,28,773
1342,94,10,73,83,2179
217.2,90,0.8,58,9.6,1555
311.57,63,6.1,73,35.5,1822
70.86,42,7.6,78,3.43,269
98.09,87,17.2,67,21.54,699
221,18,4.3,60,11.35,1568
179.6,61,7.2,78,34.8,1333
199.25,92,8.2,80,20,1066
112,83,26.1,83,8,320
143.67,93,11.2,80,17,721
3567,93,5.6,80,39,2089
315,91,12.7,73,10.6,1276
173,86,13.2,73,3,404
621.2,85,8.3,73,10,1681
209,94,14.8,73,24.5,1045
283.74,86,3.3,53,96.78,2254
356.5,93,10.3,73,1,682
209.4,98,1.4,73,10,1142
121.2,55,1,50,5,922
563,80,2.3,53,7,1931
176,83,15,73,18,908
188.38,69,9.9,73,52.13,1484
300.54,40,4,60,23.93,1990
184.75,92,4.7,73,1.75,469
117,83,23.3,67,4,332
486,94,3.1,73,1,992
47.56,62,7.5,67,1.81,236
126.83,100,15.7,67,1,126
399.75,56,5,67,85.75,2314
104,90,3.4,80,39,935
489.8,94,3.4,73,6.6,1503
141.33,94,6.9,73,7.33,565
357.33,97,0.9,73,1.66,1102
167.5,86,16.1,73,2,293
146.8,93,1.1,73,1,390
1336.75,47,3,67,41.5,2362
133,83,14.3,73,18,731
223.67,63,5.1,73,20.67,1475
251.8,94,1.9,67,37.8,1838
188.56,91,11.5,73,21.12,1008
237.75,98,2.3,72,9.33,1400
155,52,2.2,42,25.8,1652
112,83,27.3,73,5,229
358,95,27,50,119,2120
315,100,1,67,39.6,2041
337.6,99,2.2,58,39.8,2103
137.33,61,8.7,73,27.61,1027
147.75,78,13.7,73,2.25,334
128.33,94,4.5,73,26.33,918
60.84,70,10.5,67,5.95,408
506.85,21,6.3,60,6.2,1770
262.6,89,13.3,67,44,1723
145.25,56,11.8,78,4.75,484
325.6,86,12,73,10.6,1382
206.5,86,12.7,73,49.5,1433
402.78,87,6.9,60,132.63,2328
119.2,90,3.6,73,29,963
154,71,14.4,73,5.5,507
116.5,56,7,73,1.75,278
252,100,20.6,58,1,527
2262.33,63,2.9,73,5.66,1763
131.38,99,15.4,60,12.19,711
202,98,9.7,80,43,1234
117.5,88,1.4,73,1,285
134,83,12,83,32,865
216,93,9.5,58,18,1403
464.62,40,3.6,78,16.12,1918
576.71,28,1.2,67,1.18,1588
169,83,18.9,80,4,399
102.5,89,3.1,80,47.5,1065
208.8,94,1.9,73,6.6,920
314,83,14.3,73,28,1584
1034.43,32,3.1,60,931.07,2497
156,92,2.5,60,26,1453
540.5,72,3.7,67,35,2220
153.79,86,10.1,67,31.79,1222
122,63,9.6,80,2.33,279
344,95,23.2,73,18,1367
62.05,72,10.2,67,6.05,425
230.2,89,14.6,73,11.2,982
294.6,94,13,73,8.4,1063
384.4,90,1.9,73,49.2,2097
204.6,96,1.9,58,7.8,1238
115,83,22.8,73,4,219
214.62,32,2.3,53,57.39,2059
276,99,14.5,80,70,1622
61.42,80,8.6,67,4.95,382
206,88,22.4,80,25,984
90.12,69,6.5,73,21.37,771
159.5,78,6.8,60,84.75,1755
126.2,90,7.2,73,9.8,628
444,83,13.2,73,24,1752
179,85,1.1,60,47,1837
198,97,1,73,8,1014
635.86,86,6.8,80,3.72,1300
184.67,88,1.9,73,7.67,942
211,83,13.7,67,28,1417
512.25,92,6.8,80,46.37,2001
1400,78,4.3,73,22.25,2069
115,97,6.9,73,8,467
333,99,23.2,73,19,1329
3111.67,99,2.1,67,4.34,1745
110.78,85,13.2,73,1.78,144
1391.5,89,3.4,73,45.5,2226
631,83,15,58,292,2378
825.8,90,5.9,60,123.2,2411
126,99,2.4,73,2,304
256,91,14.9,80,69,1595
44.97,51,7.8,60,1.59,275
231.39,86,10.4,73,1.33,521
223.2,89,2.2,73,6.2,1001
57.32,54,10.4,67,1.76,221
130.33,94,4.5,78,3.5,384
474,89,11.5,58,196,2334
169.4,90,6.4,73,28.2,1145
87.9,67,14.7,73,37.8,755
327.13,13,5.1,67,24.98,1983
164,86,3.4,73,54.5,1515
69.33,95,19.4,67,25.22,619
736.5,86,9.2,73,2,1106
352,98,21.5,58,1,748
43,47,3.6,80,5.17,376
189.57,43,3,73,6,899
140,95,16.4,73,34,794
178,98,34.4,83,8,461
266.8,92,2,58,8,1554
1664.62,42,1,83,1337,2481
237.8,97,1.2,73,10.4,1345
181.7,34,3.5,73,41.7,1562
135.33,86,10.1,73,8,558
240.5,72,8.6,78,117,1868
172.67,87,6.8,73,14,957
391.6,92,10.8,73,12.6,1506
440.75,89,1.3,73,13,1846
171.6,93,6.6,73,1.8,387
535,78,0.2,53,191.8,2494
197.4,99,1.1,73,9.8,1105
469,98,13.1,67,0.67,830
136.86,87,1.8,67,1.15,524
310.74,86,3.6,53,93.78,2285
271,63,2.7,67,152,2276
163,85,1.8,60,42.33,1716
316.07,32,1,60,225,2440
114,86,17.9,73,3,166
289.6,94,1.1,58,6.8,1594
836.5,86,5.4,73,17,1898
438,98,10,73,61,1946
599,92,3.6,67,9.67,1854
155,72,15,89,3,331
439.4,88,9.4,73,10,1534
277.25,97,7.6,73,90.75,1825
196,88,9.8,73,37,1262
713.2,99,7.9,58,15.8,1940
298,88,27.4,73,14,1195
750,83,7.4,73,3,1296
189.5,94,3.8,73,1.5,475
282.09,85,2.2,53,95.96,2287
248.8,88,1.1,67,42.4,1980
312.97,93,6,67,25.7,1792
130.25,78,9.4,73,4,398
323,90,23.5,73,23,1442
172,89,29.5,89,2,200
178.75,56,8.4,60,4,778
206.4,86,15.5,58,5.6,801
387,83,22.6,83,1,630
199,94,10.1,73,39,1225
300,88,28,73,14,1201
287.26,86,5.1,53,96.56,2215
86.4,89,24.7,73,8.4,286
286,93,9.4,73,16,1365
334.43,84,1.4,53,114.43,2413
514.33,47,3,73,123.5,2376
214.8,91,15.4,73,11,857
192,83,24,83,8,612
212.2,95,1.6,73,12.8,1264
298.2,85,12.5,73,8,1135
485.6,94,9.6,73,7.6,1371
320,91,23.3,73,237,1914
314.5,96,14.1,73,30,1519
234,97,2.6,73,4.2,837
227.62,8,6.9,67,5.01,1101
133.5,90,5.4,73,20,883
303.74,85,4.5,53,110.44,2290
49.53,53,15,60,0.82,124
217.8,90,1.3,73,7.4,1115
182.57,43,5.3,83,9.28,956
783,63,4.6,73,76.33,2308
331.43,85,1.1,53,93.52,2399
236.2,96,3.6,73,45.2,1662
201.48,53,6.7,67,98.35,1912
302.75,89,7.1,73,187.75,2057
233,94,14.5,58,11.4,1232
64.28,80,9.1,67,5.78,412
83.42,66,1.6,73,3.67,452
148.95,89,10.8,67,6.73,649
174,83,14.9,73,3,407
214,86,17.8,80,2,388
229.4,99,13.7,73,8.6,779
322,95,21.8,73,132,1849
542.87,26,4.4,53,32.94,2288
410.75,78,8.4,73,3.75,1191
3582.8,99,2,80,31.6,2127
253.83,13,7,67,5.92,1239
171,67,8,73,7.25,744
184.67,73,2.7,73,40.84,1556
175,92,4.3,73,13,987
424.83,46,3.7,73,20.83,1955
263.89,87,7,67,70.52,1974
40,72,19.8,73,3.5,114
168,26,7.7,53,16,1380
75.22,93,18.2,67,21.55,615
119,95,31.3,73,18,510
289.75,39,2.7,78,28.5,1832
152.5,86,4.5,73,2,414
434.83,66,3,80,62.58,2213
220.2,93,14.2,73,9,786
223.4,100,13.7,73,9.2,780
105.5,56,9.4,83,33.25,806
770.6,98,1,60,254.5,2476
216,93,7.5,73,1.5,483
648,92,0.6,73,3,1499
254.6,98,1.7,67,43.2,1902
164.33,95,15.2,73,13.33,706
251.6,92,0.9,67,41.6,1970
243,90,8.1,80,19.75,1293
249,85,24.9,83,1,364
585.5,97,1,60,19.5,2178
136.4,90,5.9,73,10.8,738
335.3,85,2.4,53,100.3,2367
423.7,67,4.8,80,36.4,1994
283,71,6.5,53,66.35,2151
158.8,87,5.8,73,30.8,1168
42.5,72,13.5,73,2.5,109
186,93,5.5,73,1.33,417
162,100,12.4,73,5,405
69.71,91,22.6,67,15.47,528
56.17,97,11.3,83,7.17,206
197.07,26,5.2,53,27.27,1700
131.75,90,8.7,73,1.5,222
494.8,97,9.6,73,10.2,1514
786.5,67,4.8,50,133,2473
135.67,93,2.4,58,21.84,1301
331,87,20.4,73,46,1717
151.22,93,13.6,73,1.44,216
199.4,99,2.2,73,7.6,882
223,91,3.9,73,33.4,1520
511.25,77,4.7,73,269.25,2345
243,93,13.7,58,9,1174
620.5,96,8.7,73,398,2246
151.4,53,5.6,73,88.4,1589
330,83,15.6,67,3,1007
114.83,89,18.5,73,31.66,692
314.15,100,6.7,60,18.05,1721
219.2,85,0.9,58,7.6,1496
282,85,3.7,53,69.7,2191
322.65,95,7.6,60,0.75,845
241,100,24.6,83,8,653
118.75,86,12.8,67,0.87,188
143.25,79,1.8,73,78,1636
319.3,85,0.4,53,128.13,2423
471.5,56,3.2,73,5.75,1569
319.2,89,3.9,58,1.4,1157
501.79,28,4.8,73,88.36,2294
435.33,21,4.2,33,10.77,2035
177,100,6.9,73,7.33,644
330.19,92,8.6,67,17.13,1703
305.7,86,5.5,53,91.18,2235
213,91,9.4,73,3.67,595
273.85,87,1.8,60,0.93,1003
573.81,11,3.5,67,36.72,2275
213,96,17.1,73,108,1512
242,87,2.8,73,6.2,1074
82.25,99,22.7,73,6.75,172
62.75,56,7.8,83,2.25,164
309,96,23.5,73,22,1326
333.52,86,3,53,111.26,2358
140.8,90,5.6,60,13.4,1053
857,83,6.4,73,3,1352
452.75,88,4.5,67,142.25,2359
124.33,94,7.1,73,10,601
220.6,90,1.3,73,9.2,1236
571,83,8.4,67,4,1492
489.2,67,5.1,73,117.2,2306
180,87,12.1,73,55.25,1343
49.43,42,10.6,73,6,306
195.56,100,11.6,73,25.78,1016
187.75,64,8.1,73,63,1567
146.88,92,13.4,73,11.88,658
64.75,57,1.4,67,2.25,478
131.67,88,6.9,73,9,636
172.57,90,9.7,67,10.24,930
445,89,12.1,83,1.5,796
122,99,34.3,73,8,299
270.5,95,19.1,78,4.5,662
113.5,96,1.3,60,24,1206
315.5,86,13.6,80,2,691
224,75,14.8,78,3.33,620
153.44,87,1.7,73,0.77,409
238.09,71,6.4,53,73.74,2052
1387.5,78,3.5,73,31,2173
104.5,85,15.6,73,46.5,820
83.33,98,2.1,80,1.33,160
337,83,19.7,60,9,1495
321.4,88,2.8,73,38.4,1896
221,87,25.9,73,1,308
368.5,85,3.7,67,19,1945
277.6,93,2.3,50,44.4,2068
298.61,86,1.3,53,89.83,2323
96,83,21.8,67,4,263
99,88,0.7,73,53,1288
485.67,93,7.8,67,1.11,1099
223.5,86,15.7,73,37.5,1312
60.47,78,9.2,67,4.47,357
124.67,100,6.9,73,11,607
1042.17,82,3.1,73,56,2302
338,72,10.5,73,156.5,2126
417,86,6.5,73,230,2245
119,92,14,73,42.25,808
437.8,90,7.3,60,256.07,2351
121,98,22.3,73,3,121
894.5,56,3,83,715.25,2424
113.33,91,5.7,73,45.66,1024
149.75,78,9.4,80,4.5,482
180,83,13.5,73,7,639
257.67,88,8.9,67,16.67,1521
225.2,100,14,73,10.4,843
144,85,28.8,73,2,184
190.17,73,2.6,73,19.67,1379
263,83,13.2,67,104,1977
334,67,4.4,67,1.9,1217
246,95,15.8,67,28.5,1438
63.25,98,25.6,67,10.25,371
412.5,72,5.9,73,5,1362
146,93,5.9,67,24,1151
517,83,14.5,83,375,2181
238.04,48,7.1,67,61.93,1947
843.33,88,3.9,67,467,2447
429.38,20,1,42,141,2489
116,87,18.6,60,7.56,530
507,89,2.2,73,42.8,2132
348.1,67,2.3,73,74.4,2212
284.13,84,3.3,53,72.35,2223
132.67,97,6.9,73,8.34,559
67.25,56,15.5,78,4,179
333.5,68,3,73,2.9,1205
147.33,99,13,73,1,133
333.4,97,12.1,73,11.2,1327
238.4,95,1.3,73,9.2,1290
1442.86,87,2.9,73,46.72,2260
90,97,29.1,73,25,481
116.75,56,4.9,73,2,327
117,91,1.8,73,43,1185
130.33,63,7.8,73,14.66,816
173,91,24.1,73,102,1309
194.59,95,9.4,53,5.33,787
365.5,61,2.1,73,101.6,2297
287.07,94,8.3,67,11.36,1480
80.67,38,2.3,80,3.67,406
57,91,27.3,83,14,310
80.5,88,1.1,73,29.5,970
689.42,34,1.1,67,236.75,2493
2555,83,0.3,73,2035,2486
255.4,94,2.3,67,40,1855
276.6,93,2.3,73,5.8,1137
231.6,96,14,73,10.6,911
1558.07,97,2.6,67,13.14,2050
251.07,56,5.2,73,133.43,2025
215.5,95,3.6,78,15,1204
137.71,79,2.4,67,9.21,1042
1936.33,76,2.3,73,1627.33,2466
128.5,97,17,73,16.5,584
187,65,10.1,67,71.5,1712
193,83,26.2,80,3,378
438,93,8.6,67,0.73,940
98.25,90,1.7,73,2.25,322
220.75,56,6.3,58,57.25,1948
119,72,10.6,80,15,672
210.67,98,15.1,73,4.56,512
314,90,24.6,73,21,1373
223.6,100,0.7,73,6,993
224,78,3.9,73,1.75,686
4989.67,93,1.6,73,14,2038
109.75,70,11.4,73,61.25,1079
1674,55,0.8,67,1005.4,2501
216.54,87,9.9,67,33.69,1524
151.6,50,7.9,58,4.6,775
124.67,89,2.1,73,39,1172
93.93,80,2.1,67,3.72,548
192.67,63,10.5,42,4.67,901
114.67,93,10.8,73,6,323
347.67,47,2.1,78,8.34,1668
280.17,85,3.9,53,97.74,2242
423.17,86,6.2,60,141.95,2363
524,94,22.5,67,22,1760
180,95,14.6,73,23.5,903
119.67,94,11.8,73,2,146
730.2,86,3.4,73,47.8,2208
222.4,94,1.7,73,5.6,932
70.75,56,8.3,83,7.5,395
379.6,89,11,73,6,1155
145.36,33,3.2,67,2.65,689
320.8,69,1.5,73,31.5,1986
305.37,87,8,67,90.95,2091
327,72,4.4,67,14,1815
320.4,89,12.3,73,9.2,1252
1036.2,87,3.8,33,11.48,2119
401.62,86,8.1,60,0.77,1043
154,90,23.9,73,9,537
223.5,72,11.9,73,8,910
602,90,18.7,73,19,1661
113.75,8,9.2,67,3.85,494
392.5,46,5.6,73,1.5,1087
94.67,98,4.7,73,16.34,635
170,91,28.6,80,1,131
207.88,92,6.4,33,9.67,1278
220.6,88,15,58,6.2,909
205.4,100,0.7,73,5.2,847
2967.75,56,2.4,83,4.25,1693
242.4,89,1.1,73,7.6,1260
355,85,2,50,145,2428
228.3,7,4.8,67,9.07,1462
258,92,3.2,73,32.4,1663
412.25,89,6.1,73,195.75,2231
481.33,88,0.8,67,1,1384
799,99,14.4,58,723,2342
175.5,90,7.6,80,39,1190
168,83,21.6,78,5,445
191.83,73,3.6,73,2.66,657
4023.3,16,0.6,60,315.26,2506
568.6,54,1.3,67,404.6,2485
210.79,89,11.5,67,5.61,781
